nome;logradouro;cidade;uf;cep;telefone;email;politica_publica;tipo_atendimento;dias_atendimento;horario_atendimento;clientela;area_abrangencia;primeiro_atendimento;documentacao_atendimento;pagamento;descricao;tipo;subtipo;user_id
CAPS AD III Ceilândia - Centro de Atenção Psicossocial Álcool e Drogas III de Ceilândia;QNN 01 Conj A lote 45/47;Ceilândia;DF;72225-011;61 - 3372-1091 / 3372-1711;capsadcei@saude.df.gov.br;Saúde;Rede SUS-DF;Todos os dias,  incluindo feriados e finais de semana.;24 horas;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Ceilândia e Brazlândia;Demanda espontânea, ordem de chegada;Documento de identificação pessoal, comprovante de residência, se houver;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial, com atenção contínua, com funcionamento vinte e quatro horas, incluindo feriados e finais de semana, ofertando retaguarda clínica e acolhimento noturno a outros serviços de saúde mental. Destinado ao acolhimento e acompanhamento pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD III Samambaia - Centro de Atenção Psicossocial Álcool e Drogas III de Samambaia;QS 107 conjunto 07 Lotes 03 e 04;Samambaia;DF;72301-527;61 - 3459-2581;capsadsamambaia@yahoo.com.br;Saúde;Rede SUS-DF;Todos os dias,  incluindo feriados e finais de semana.;24horas;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Samambaia, Recanto das Emas, Taguatinga e entorno;Todos os dias, sem marcação prévia.;Nenhuma;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial, com atenção contínua, com funcionamento vinte e quatro horas, incluindo feriados e finais de semana, ofertando retaguarda clínica e acolhimento noturno a outros serviços de saúde mental. Destinado ao acolhimento e acompanhamento pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD III Rodoviária/Candango - Centro de Atenção Psicossocial Álcool e Drogas III Rodoviária/Candango;SCS 05 Bl. B Loja 73 – Asa Sul;Brasília;DF;70305-000;61-3226.4631 / 3226.4532 / 3225.1163;capsad3candango.ses@gmail.com;Saúde;Rede SUS-DF;Todos os dias,  incluindo feriados e finais de semana.;24horas;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Varjão, Asa Norte, Lago Norte, Asa Sul, Cruzeiro, Octogonal, Sudoeste, São Sebas, Vila Planalto, SOF Norte e Sul, Lago Norte e Sul, Vila Telebrasília;Todos os dias, das 7h às 19h, exceto às 5ª-feiras das 13h às 17h;Nenhuma;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial, com atenção contínua, com funcionamento vinte e quatro horas, incluindo feriados e finais de semana, ofertando retaguarda clínica e acolhimento noturno a outros serviços de saúde mental. Destinado ao acolhimento e acompanhamento pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD Guará - Centro de Atenção Psicossocial Álcool e Drogas do Guará;QE 23, AE do C.S nº 2 – Guará 2;Guará;DF;71010-634;61 3567-1967;capsadguara@yahoo.com.br;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 8h às 12h e das 14h às 18h;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Guará I e II, SAI, Estrutural, Vicente Pires, Riacho Fundo I e II, Águas Claras, Arniqueiras, Núcleo Bandeirante, Park Way e Candangolândia;"Preferencialmente 2ª e 4ª-feira de 8h às 12h e de 14h às 18h;e 6ª-feira de 8h às 12h";Documento de identidade e comprovante de residência;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD Itapoã - Centro de Atenção Psicossocial Álcool e Drogas do Itapoã;Quadra 378 AE 04 conj A Del Lago;Itapoã;DF;71570-000;61 - 3369-9438;capsaditapoa@yahoo.com.br;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 07h às 18h;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Itapoã, Paranoá, São Sebastião, Jardim Botânico;De 2ª a 6ª feira, das 7h às 18h;Cartão SUS, Documento de identidade;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD Santa Maria - Centro de Atenção Psicossocial Álcool e Drogas de Santa Maria;Quadra 312 Conjunto H Casa 12;Santa Maria;DF;72.542-508;61 - 3394-5213;capssantamaria@yahoo.com.br;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 7h às 22h;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Santa Maria, Gama e Entorno Sul;De 2ª a 6ª-feira, das 7h às 22h;Cartão SUS e Documento com foto.;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD;1
CAPS AD Sobradinho - Centro de Atenção Psicossocial Álcool e Drogas de Sobradinho;AR 17 chácara 14 Sobradinho II;Sobradinho II;DF;73080-000;61 - 3901-3325 / 3901-3329;capsadsobradinho2@yahoo.com.br;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 7h às 18h;Pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas;Superintendência de Saúde Norte- Planaltina, Sobradinho, sobradinho II e Fercal;De 2ª a 6ª-feira, das 7h às 18h, exceto 5ª-feira à tarde;Documentos pessoais e cartão do SUS, caso não haja documentação, bastam os relatos verbais.;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de pessoas maiores de 16 anos com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS Transtorno;1
CAPS ADi Brasília - Centro de Atenção Psicossocial Álcool e Drogas Infanto-juvenil de Brasília;905 norte - junto ao Centro de Saúde Nº11;Brasília;DF;70790-050;61-3343-1915;capsadibrasilia@gmail.com;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 7h às 12h e das 13h às 18h;Crianças e adolescentes com necessidades decorrentes do uso de álcool e outras drogas;Plano Piloto, Lago Norte, Varjão, Planaltina, Sobradinho I e II, Fercal, Paranoá, Núcleo Bandeirante, Cruzeiro, Estrutural, São Sebastião, Riacho Fundo;De 2ª a 6ª feira, das 7h às 18h;RG da criança/adolescente ou responsável;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de crianças e adolescentes com necessidades decorrentes do uso de álcool e outras drogas. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS AD e CAPSi;1
CAPS III Samambaia Sul - Centro de Atenção Psicossocial III de Samambaia Sul;Quadra 302 Conjunto 5 Lote 01;Samambaia Sul;DF;72300-639;61 - 3357-0783;caps.samambaia@gmail.com;Saúde;Rede SUS-DF;Todos os dias,  incluindo feriados e finais de semana.;24 horas;Adultos com transtornos mentais graves e persistente;Samambaia, Recanto das Emas e Ceilândia (QNN e QNM);De 2ª a 6ª feira, das 7h às 22h;RG, CPF, Cartão SUS, Comprovante de Residência;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial, com atenção contínua, com funcionamento vinte e quatro horas, incluindo feriados e finais de semana, ofertando retaguarda clínica e acolhimento noturno a outros serviços de saúde mental. Destinado ao acolhimento e acompanhamento adultos com transtornos mentais graves e persistente. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS Transtorno;1
CAPS ISM - Centro de Atenção Psicossocial do Instituto de Saúde Mental;EPNB km 04 AE S/N, Avenida Sucupira - Granja do Riacho Fundo;Riacho Fundo I;DF;71800-100;61 - 3399-3910/ 3399-4545;direcaoism@gmail.com;Saúde;Rede SUS-DF;2ª a 6ª-feira;Das 7h às 19h;Pessoas maiores de 18 anos com transtornos mentais graves e persistentes;Riacho Fundo I e II, Núcleo Bandeirante, Candangolândia, Guará, Estrutual, Park Way;De 2ª a 6ª feira. São distribuídas senhas no início da manhã e no início da tarde.;Cartão SUS, Documento de identidade e Comprovante de Residência;Gratuito (SUS é direito);CAPS - Centro de Atenção Psicossocial - é dispositivo aberto do Sistema Único de Saúde, integra a Rede de Atenção Psicossocial. É constituído por equipe interdisciplinar, dentro de uma área territorial. Destinado ao acolhimento e acompanhamento de pessoas maiores de 18 anos com transtornos mentais graves e persistentes. Tem por objetivo trabalhar a integração social e familiar e promover a autonomia e a cidadania, através de um trabalho de reabilitação psicossocial.;CAPS;CAPS Transtorno;1
